City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,wind speed
84,Meiringen,75,CH,1543888200,87,46.73,8.19,48.2,1.12
85,Amapa,20,HN,1543885200,78,15.09,-87.97,80.6,6.93
86,Ugoofaaru,24,MV,1543888999,100,5.67,73,83.39,6.31
87,Yeroham,80,IL,1543888999,95,30.99,34.93,54.64,4.12
88,Tiksi,44,RU,1543889000,75,71.64,128.87,-6.52,6.13
89,Bud,90,NO,1543886400,80,62.91,6.91,41,14.99
90,New Norfolk,75,AU,1543887000,48,-42.78,147.06,60.8,14.99
91,Havoysund,88,NO,1543886400,74,71,24.66,35.6,23.04
92,Narsaq,88,GL,1543889001,60,60.91,-46.05,3.25,3.22
93,Provideniya,75,RU,1543887000,79,64.42,-173.23,24.8,6.71
94,Norman Wells,75,CA,1543885200,92,65.28,-126.83,10.4,4.7
95,Sinaloa,20,MX,1543888620,25,32.55,-115.28,62.96,4.7
96,Kalmunai,88,LK,1543889062,98,7.42,81.82,78.98,4.52
97,Hamilton,90,CA,1543885200,100,43.26,-79.87,33.8,12.75
98,Arraial do Cabo,76,BR,1543889063,100,-22.97,-42.02,72.91,9.1
99,Portland,20,US,1543884960,67,45.52,-122.67,42.98,13.87
100,Hobart,75,AU,1543887000,48,-42.88,147.33,60.8,14.99
101,Hami,36,CN,1543889064,49,42.84,93.51,4.6,3.06
102,Kruisfontein,80,ZA,1543889064,100,-34,24.73,58.24,5.12
103,Eyrarbakki,90,IS,1543885200,85,63.86,-21.15,24.8,20.8
104,Sao Filipe,0,CV,1543889064,99,14.9,-24.5,74.8,11.27
105,Yellowknife,90,CA,1543885200,92,62.45,-114.38,21.2,6.93
106,Nurota,12,UZ,1543887000,93,40.56,65.69,35.6,9.17
107,Padang,20,ID,1543883400,88,-0.92,100.36,78.8,1.12
108,Prince George,90,CA,1543885200,79,53.92,-122.75,23,2.24
109,Baruun-Urt,32,MN,1543889066,43,46.68,113.28,-2.43,7.36
110,Cabo San Lucas,20,MX,1543884840,64,22.89,-109.91,71.6,8.05
111,Port Elizabeth,75,US,1543888440,65,39.31,-74.98,49.64,6.93
112,Mbanza-Ngungu,80,CD,1543889066,96,-5.25,14.87,68.77,2.73
113,Severo-Kurilsk,36,RU,1543889067,100,50.68,156.12,31.28,10.6
114,Setermoen,68,NO,1543886400,69,68.86,18.35,37.4,19.46
115,Saint George,0,GR,1543884600,93,39.45,22.34,39.2,2.1
116,Hay River,75,CA,1543885200,84,60.82,-115.79,8.6,2.24
117,Oyama,75,JP,1543885200,82,36.31,139.8,59,2.24
118,Ilulissat,8,GL,1543884600,40,69.22,-51.1,17.6,12.75
119,Anadyr,0,RU,1543887000,75,64.73,177.51,-14.81,15.66
120,Samagaltay,48,RU,1543889068,73,50.6,95,-5.4,2.06
121,Cidreira,0,BR,1543889069,76,-30.17,-50.22,57.88,6.8
122,Luderitz,0,NA,1543889069,83,-26.65,15.16,57.11,14.58
123,Aden,0,YE,1543888896,100,12.79,45.03,79.12,15.37
124,Vaini,32,IN,1543885200,82,15.34,74.49,66.2,6.64
125,Kavieng,36,PG,1543889070,100,-2.57,150.8,86.77,3.56
126,Bagdarin,8,RU,1543889070,24,54.44,113.59,-19.57,3.62
127,Palora,0,EC,1543889071,96,-1.7,-77.97,59.95,2.39
128,Bambous Virieux,20,MU,1543885200,88,-20.34,57.76,71.6,6.93
129,Rundu,64,NA,1543889071,82,-17.91,19.77,67.15,2.33
130,Boras,90,SE,1543886400,93,57.72,12.94,41,18.34
131,Lira,0,UG,1543889072,92,2.25,32.9,58.46,2.89
132,Rapid Valley,90,US,1543888380,88,44.06,-103.15,24.8,4.7
133,Lenger,64,KZ,1543887000,92,42.18,69.89,24.8,4.79
134,Touros,20,BR,1543885200,83,-5.2,-35.46,80.6,9.17
135,Moree,92,AU,1543885200,34,-29.46,149.84,84.2,5.82
136,Sergeyevka,88,KZ,1543889133,81,53.88,67.42,17.11,8.14
137,Fillan,75,NO,1543888200,86,63.6,8.98,39.2,16.11
138,Evensk,48,RU,1543889134,100,61.92,159.24,-0.76,7.92
139,Kichera,20,RU,1543889134,100,55.93,110.1,-16.69,4.34
140,Ballyhaunis,0,IE,1543889134,100,53.76,-8.77,31.69,5.35
141,Faya,5,SA,1543885200,87,18.39,42.45,53.6,2.62
142,Labuhan,80,ID,1543889135,83,-2.54,115.51,82.45,3.11
143,Dunedin,0,NZ,1543888890,79,-45.87,170.5,67.33,5.53
144,Yinchuan,0,CN,1543889097,51,38.48,106.21,15.94,5.53
145,Saskylakh,24,RU,1543889135,27,71.97,114.09,-18.18,4.79
146,Jurm,0,AF,1543889136,64,36.86,70.83,11.8,1.83
147,Kathu,0,ZA,1543889136,49,-27.7,23.05,54.46,8.88
